1-й Спасоналивковский переулок, Автобус М9, Серпуховская площадь, Автобус М9, 2
Серпуховская площадь, Автобус М9, 1-й Спасоналивковский переулок, Автобус М9, 2
Серпуховская площадь, Автобус М9, Добрынинcкая, 5, 6
Серпуховская площадь, Автобус М9, Метро Серпуховская, Автобус М9, 2
Метро Серпуховская, Автобус М9, Серпуховская площадь, Автобус М9, 2
Метро Серпуховская, Автобус М9, Серпуховская, 9, 3
Метро Серпуховская, Автобус М90, Серпуховская, 9, 3
Метро Серпуховская, Автобус М90, Серпуховская площадь, Автобус М90, 2
Серпуховская площадь, Автобус М90, Метро Серпуховская, Автобус М90, 2
Серпуховская площадь, Автобус М90, Вишняковский переулок, Автобус М90, 2
Вишняковский переулок, Автобус М90, Серпуховская площадь, Автобус М90, 2
